EmploymentField,EmploymentStatus,Gender,LanguageAtHome,JobWherePref,SchoolDegree,Income
"arts, entertainment, sports, or media",Employed for wages,male,English,in an office with other developers,master's degree (non-professional),75000.0
legal,Employed for wages,male,English,from home,bachelor's degree,46000.0
"arts, entertainment, sports, or media",Self-employed freelancer,male,English,no preference,associate's degree,12000.0
health care,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),27700.0
office and administrative support,Employed for wages,male,Polish,in an office with other developers,"some college credit, no degree",44614.0
law enforcement and fire and rescue,Employed for wages,female,English,no preference,"some college credit, no degree",32500.0
sales,Employed for wages,female,English,from home,bachelor's degree,75500.0
health care,Employed for wages,female,English,from home,master's degree (non-professional),34000.0
software development and IT,Employed for wages,male,Indonesian,in an office with other developers,bachelor's degree,6000.0
sales,Employed for wages,female,English,in an office with other developers,bachelor's degree,37740.0
health care,Employed for wages,male,English,no preference,bachelor's degree,55000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,36000.0
sales,Employed for wages,female,English,in an office with other developers,bachelor's degree,26000.0
finance,Employed for wages,female,English,in an office with other developers,bachelor's degree,40000.0
software development and IT,Employed for wages,male,Spanish,no preference,"some college credit, no degree",29000.0
education,Employed for wages,male,English,in an office with other developers,bachelor's degree,20000.0
"arts, entertainment, sports, or media",Employed for wages,female,English,in an office with other developers,master's degree (non-professional),25000.0
education,Employed for wages,male,English,in an office with other developers,bachelor's degree,40000.0
software development and IT,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),50000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",28000.0
architecture or physical engineering,Employed for wages,female,English,from home,master's degree (non-professional),100000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,65000.0
education,Employed for wages,female,English,no preference,bachelor's degree,50000.0
"arts, entertainment, sports, or media",Employed for wages,female,English,in an office with other developers,bachelor's degree,40000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",35000.0
software development and IT,Employed for wages,female,English,in an office with other developers,master's degree (non-professional),130000.0
legal,Employed for wages,male,English,from home,"professional degree (MBA, MD, JD, etc.)",53000.0
transportation,Self-employed freelancer,male,English,no preference,"some college credit, no degree",50000.0
architecture or physical engineering,Employed for wages,male,Chinese,in an office with other developers,bachelor's degree,50000.0
software development and IT,Employed for wages,male,Spanish,from home,bachelor's degree,24000.0
office and administrative support,Employed for wages,male,English,in an office with other developers,"professional degree (MBA, MD, JD, etc.)",40000.0
software development and IT,Self-employed freelancer,male,English,in an office with other developers,"trade, technical, or vocational training",112000.0
finance,Employed for wages,female,Haitian Creole,no preference,"some college credit, no degree",18000.0
transportation,Employed for wages,male,English,no preference,"some college credit, no degree",30000.0
education,Employed for wages,female,English,in an office with other developers,master's degree (non-professional),60000.0
food and beverage,Employed for wages,male,English,from home,high school diploma or equivalent (GED),14000.0
office and administrative support,Employed for wages,female,English,in an office with other developers,bachelor's degree,35000.0
sales,Self-employed business owner,male,Central Bicolano,from home,bachelor's degree,6000.0
sales,Employed for wages,male,English,no preference,high school diploma or equivalent (GED),47000.0
education,Employed for wages,male,English,in an office with other developers,bachelor's degree,33000.0
sales,Self-employed freelancer,male,Spanish,from home,"some college credit, no degree",28000.0
education,Employed for wages,male,Arabic,in an office with other developers,bachelor's degree,14400.0
sales,Employed for wages,male,Greek,in an office with other developers,bachelor's degree,10000.0
office and administrative support,Employed for wages,male,English,no preference,"some college credit, no degree",40000.0
software development and IT,Employed for wages,male,Spanish,from home,bachelor's degree,26000.0
office and administrative support,Employed for wages,male,English,in an office with other developers,bachelor's degree,34000.0
education,Self-employed business owner,male,Polish,from home,bachelor's degree,15000.0
"arts, entertainment, sports, or media",Employed for wages,female,English,from home,high school diploma or equivalent (GED),23000.0
education,Employed for wages,female,Russian,in an office with other developers,bachelor's degree,20000.0
sales,Employed for wages,male,Spanish,no preference,"some college credit, no degree",20000.0
software development and IT,Employed for wages,male,English,from home,bachelor's degree,53000.0
education,Self-employed freelancer,male,Punjabi,in an office with other developers,master's degree (non-professional),15000.0
software development and IT,Employed for wages,male,English,no preference,bachelor's degree,70000.0
education,Employed for wages,male,Norwegian,in an office with other developers,master's degree (non-professional),75000.0
food and beverage,Employed for wages,male,Gujarati,in an office with other developers,bachelor's degree,20000.0
sales,Employed for wages,male,Gujarati,in an office with other developers,"some college credit, no degree",45000.0
education,Employed for wages,female,English,no preference,master's degree (non-professional),39500.0
education,Employed for wages,female,English,in an office with other developers,bachelor's degree,38000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,40000.0
office and administrative support,Employed for wages,male,English,no preference,"some college credit, no degree",43000.0
"arts, entertainment, sports, or media",Self-employed freelancer,male,Spanish,in an office with other developers,bachelor's degree,55000.0
software development and IT,Employed for wages,female,Spanish,in an office with other developers,bachelor's degree,61800.0
office and administrative support,Employed for wages,female,English,in an office with other developers,bachelor's degree,40000.0
education,Employed for wages,female,English,from home,"some college credit, no degree",7500.0
finance,Employed for wages,male,English,no preference,associate's degree,38000.0
office and administrative support,Employed for wages,male,German,in an office with other developers,"some college credit, no degree",12000.0
office and administrative support,Employed for wages,male,Polish,in an office with other developers,master's degree (non-professional),26000.0
office and administrative support,Employed for wages,female,English,from home,"some college credit, no degree",22000.0
software development and IT,Employed for wages,male,Romanian,from home,"some college credit, no degree",8000.0
sales,Employed for wages,male,English,in an office with other developers,bachelor's degree,15000.0
software development and IT,Employed for wages,male,English,no preference,bachelor's degree,32000.0
education,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),50000.0
sales,Employed for wages,male,English,in an office with other developers,bachelor's degree,52000.0
office and administrative support,Employed for wages,male,English,no preference,associate's degree,45000.0
health care,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",25000.0
education,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),20000.0
food and beverage,Employed for wages,male,Urdu,in an office with other developers,bachelor's degree,15000.0
software development and IT,Employed for wages,female,English,in an office with other developers,"professional degree (MBA, MD, JD, etc.)",70000.0
sales,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",29000.0
software development and IT,Employed for wages,female,English,in an office with other developers,"some college credit, no degree",20000.0
software development and IT,Self-employed freelancer,male,English,in an office with other developers,bachelor's degree,20000.0
health care,Employed for wages,female,English,in an office with other developers,bachelor's degree,35000.0
office and administrative support,Employed for wages,female,English,no preference,bachelor's degree,41000.0
health care,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",25000.0
office and administrative support,Employed for wages,female,English,in an office with other developers,bachelor's degree,30000.0
"arts, entertainment, sports, or media",Employed for wages,female,English,from home,bachelor's degree,30000.0
food and beverage,Employed for wages,male,Macedonian,in an office with other developers,high school diploma or equivalent (GED),8000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,60000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,63000.0
software development and IT,Employed for wages,male,English,from home,master's degree (non-professional),55000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,40000.0
finance,Employed for wages,male,Urdu,no preference,bachelor's degree,50000.0
finance,Employed for wages,female,English,in an office with other developers,bachelor's degree,40000.0
finance,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",36000.0
"arts, entertainment, sports, or media",Employed for wages,female,English,from home,associate's degree,11300.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,48000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,60000.0
finance,Self-employed freelancer,male,English,in an office with other developers,high school diploma or equivalent (GED),8000.0
sales,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),7000.0
software development and IT,Employed for wages,female,English,in an office with other developers,bachelor's degree,8000.0
software development and IT,Employed for wages,male,English,from home,"professional degree (MBA, MD, JD, etc.)",130000.0
"arts, entertainment, sports, or media",Self-employed freelancer,male,English,from home,"some college credit, no degree",58000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,no preference,"some college credit, no degree",11000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,in an office with other developers,"some college credit, no degree",50000.0
health care,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),20500.0
health care,Employed for wages,female,English,from home,Ph.D.,50000.0
architecture or physical engineering,Employed for wages,male,Spanish,in an office with other developers,bachelor's degree,50000.0
software development and IT,Employed for wages,female,English,no preference,bachelor's degree,42000.0
"arts, entertainment, sports, or media",Self-employed freelancer,male,Portuguese,in an office with other developers,"trade, technical, or vocational training",12000.0
finance,Employed for wages,female,English,in an office with other developers,bachelor's degree,67000.0
software development and IT,Employed for wages,male,Dutch,in an office with other developers,bachelor's degree,26000.0
education,Employed for wages,female,English,from home,master's degree (non-professional),42000.0
architecture or physical engineering,Employed for wages,male,English,in an office with other developers,bachelor's degree,58000.0
education,Self-employed freelancer,male,Portuguese,in an office with other developers,master's degree (non-professional),10000.0
health care,Employed for wages,female,English,in an office with other developers,bachelor's degree,73000.0
software development and IT,Employed for wages,female,French,in an office with other developers,bachelor's degree,45000.0
education,Employed for wages,male,English,no preference,bachelor's degree,38000.0
software development and IT,Employed for wages,female,English,in an office with other developers,"some college credit, no degree",48000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,no preference,bachelor's degree,43000.0
software development and IT,Employed for wages,female,Russian,in an office with other developers,bachelor's degree,12000.0
software development and IT,Employed for wages,male,English,no preference,"some college credit, no degree",9000.0
construction and extraction,Employed for wages,male,English,no preference,bachelor's degree,30000.0
sales,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",7500.0
health care,Employed for wages,male,English,in an office with other developers,bachelor's degree,28000.0
software development and IT,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),37500.0
construction and extraction,Employed for wages,male,English,in an office with other developers,bachelor's degree,40000.0
"arts, entertainment, sports, or media",Self-employed freelancer,female,English,no preference,bachelor's degree,20000.0
education,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),55000.0
sales,Employed for wages,female,English,in an office with other developers,bachelor's degree,14000.0
office and administrative support,Employed for wages,female,English,in an office with other developers,bachelor's degree,17000.0
"arts, entertainment, sports, or media",Employed for wages,female,English,in an office with other developers,bachelor's degree,51000.0
transportation,Employed for wages,female,English,from home,"some college credit, no degree",23000.0
software development and IT,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),115000.0
software development and IT,Employed for wages,male,English,no preference,bachelor's degree,40000.0
office and administrative support,Employed for wages,male,English,from home,"some college credit, no degree",31000.0
legal,Employed for wages,male,Hebrew,no preference,"professional degree (MBA, MD, JD, etc.)",185000.0
software development and IT,Employed for wages,female,English,no preference,master's degree (non-professional),56000.0
education,Employed for wages,male,English,no preference,bachelor's degree,15000.0
education,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),75000.0
health care,Employed for wages,male,Khmer,in an office with other developers,"some college credit, no degree",45000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",170000.0
software development and IT,Self-employed freelancer,male,English,no preference,bachelor's degree,75000.0
food and beverage,Employed for wages,male,Croatian,in an office with other developers,master's degree (non-professional),20000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"professional degree (MBA, MD, JD, etc.)",103000.0
office and administrative support,Employed for wages,male,English,in an office with other developers,bachelor's degree,57000.0
sales,Employed for wages,male,English,in an office with other developers,associate's degree,25000.0
software development and IT,Employed for wages,male,Spanish,no preference,"professional degree (MBA, MD, JD, etc.)",6000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,from home,bachelor's degree,77000.0
sales,Employed for wages,female,English,in an office with other developers,associate's degree,12000.0
education,Employed for wages,male,Spanish,from home,master's degree (non-professional),17000.0
food and beverage,Employed for wages,male,English,no preference,"some college credit, no degree",14000.0
sales,Employed for wages,male,English,in an office with other developers,bachelor's degree,60000.0
finance,Employed for wages,male,English,from home,bachelor's degree,70000.0
"arts, entertainment, sports, or media",Self-employed freelancer,male,English,in an office with other developers,master's degree (non-professional),21000.0
software development and IT,Employed for wages,male,English,no preference,"some college credit, no degree",31200.0
"arts, entertainment, sports, or media",Self-employed freelancer,female,English,in an office with other developers,"some college credit, no degree",32000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",40000.0
office and administrative support,Employed for wages,male,English,in an office with other developers,bachelor's degree,45000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,from home,bachelor's degree,15203.0
office and administrative support,Employed for wages,female,English,in an office with other developers,bachelor's degree,19000.0
office and administrative support,Employed for wages,female,English,no preference,bachelor's degree,17500.0
architecture or physical engineering,Employed for wages,male,English,in an office with other developers,bachelor's degree,50000.0
construction and extraction,Employed for wages,male,English,no preference,high school diploma or equivalent (GED),30000.0
food and beverage,Employed for wages,male,English,from home,"professional degree (MBA, MD, JD, etc.)",18000.0
food and beverage,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",18000.0
construction and extraction,Employed for wages,male,English,in an office with other developers,high school diploma or equivalent (GED),60000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,52125.0
education,Employed for wages,female,English,in an office with other developers,bachelor's degree,24000.0
health care,Employed for wages,male,English,in an office with other developers,bachelor's degree,49000.0
office and administrative support,Employed for wages,female,English,no preference,bachelor's degree,15000.0
"arts, entertainment, sports, or media",Self-employed freelancer,male,English,in an office with other developers,bachelor's degree,40000.0
architecture or physical engineering,Employed for wages,male,French,in an office with other developers,"professional degree (MBA, MD, JD, etc.)",40000.0
health care,Employed for wages,male,English,no preference,bachelor's degree,50000.0
"farming, fishing, and forestry",Employed for wages,male,English,in an office with other developers,master's degree (non-professional),20000.0
education,Employed for wages,male,English,in an office with other developers,bachelor's degree,18000.0
education,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),11000.0
architecture or physical engineering,Employed for wages,male,English,in an office with other developers,"trade, technical, or vocational training",76000.0
software development and IT,Employed for wages,female,English,in an office with other developers,bachelor's degree,49000.0
software development and IT,Employed for wages,male,English,no preference,high school diploma or equivalent (GED),95000.0
office and administrative support,Employed for wages,male,English,in an office with other developers,bachelor's degree,50000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,in an office with other developers,bachelor's degree,40000.0
health care,Employed for wages,male,English,no preference,"some college credit, no degree",18000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,30000.0
sales,Employed for wages,female,Spanish,in an office with other developers,"some college credit, no degree",30000.0
law enforcement and fire and rescue,Employed for wages,male,English,in an office with other developers,"trade, technical, or vocational training",28000.0
software development and IT,Employed for wages,male,Spanish,no preference,high school diploma or equivalent (GED),35000.0
education,Employed for wages,male,English,from home,bachelor's degree,45000.0
office and administrative support,Employed for wages,male,Hebrew,in an office with other developers,"some college credit, no degree",45000.0
legal,Employed for wages,male,English,in an office with other developers,bachelor's degree,74000.0
office and administrative support,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),7000.0
software development and IT,Employed for wages,male,English,no preference,associate's degree,65000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,in an office with other developers,"some college credit, no degree",22000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",52000.0
office and administrative support,Employed for wages,male,Russian,in an office with other developers,bachelor's degree,31000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,85000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"professional degree (MBA, MD, JD, etc.)",80000.0
food and beverage,Employed for wages,male,Spanish,in an office with other developers,"some college credit, no degree",15000.0
education,Self-employed freelancer,male,English,in an office with other developers,master's degree (non-professional),20000.0
food and beverage,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",21000.0
software development and IT,Employed for wages,male,English,no preference,bachelor's degree,147000.0
sales,Employed for wages,male,English,from home,bachelor's degree,9000.0
education,Employed for wages,female,English,in an office with other developers,master's degree (non-professional),46000.0
architecture or physical engineering,Employed for wages,male,English,no preference,bachelor's degree,80000.0
education,Employed for wages,male,Spanish,no preference,bachelor's degree,11000.0
food and beverage,Employed for wages,male,English,no preference,"some college credit, no degree",30000.0
software development and IT,Employed for wages,female,English,in an office with other developers,master's degree (non-professional),97000.0
software development and IT,Employed for wages,male,Afrikaans,in an office with other developers,high school diploma or equivalent (GED),28000.0
transportation,Self-employed freelancer,female,Estonian,in an office with other developers,bachelor's degree,12000.0
health care,Employed for wages,male,Egyptian Arabic,in an office with other developers,bachelor's degree,70000.0
office and administrative support,Employed for wages,male,Spanish,no preference,high school diploma or equivalent (GED),20000.0
office and administrative support,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",32640.0
sales,Employed for wages,male,Russian,in an office with other developers,bachelor's degree,33000.0
software development and IT,Employed for wages,male,English,in an office with other developers,associate's degree,30000.0
software development and IT,Employed for wages,female,Korean,no preference,bachelor's degree,17800.0
software development and IT,Employed for wages,male,Russian,in an office with other developers,associate's degree,7000.0
sales,Self-employed business owner,male,Hindi,no preference,bachelor's degree,30000.0
education,Employed for wages,male,English,no preference,"some college credit, no degree",39000.0
office and administrative support,Employed for wages,male,Croatian,in an office with other developers,high school diploma or equivalent (GED),7200.0
education,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),15000.0
sales,Employed for wages,male,Russian,in an office with other developers,master's degree (non-professional),15000.0
education,Self-employed freelancer,female,English,from home,bachelor's degree,25000.0
software development and IT,Employed for wages,male,Ukrainian,no preference,bachelor's degree,6000.0
office and administrative support,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",31000.0
"arts, entertainment, sports, or media",Employed for wages,male,Romanian,in an office with other developers,high school diploma or equivalent (GED),10000.0
education,Employed for wages,female,English,in an office with other developers,bachelor's degree,20000.0
"arts, entertainment, sports, or media",Self-employed freelancer,male,English,in an office with other developers,high school diploma or equivalent (GED),15000.0
construction and extraction,Employed for wages,male,Turkish,in an office with other developers,bachelor's degree,12000.0
office and administrative support,Employed for wages,male,Hungarian,from home,bachelor's degree,10000.0
"arts, entertainment, sports, or media",Employed for wages,female,Chinese,no preference,bachelor's degree,12000.0
education,Employed for wages,male,English,in an office with other developers,bachelor's degree,29000.0
sales,Employed for wages,male,Hindi,from home,bachelor's degree,12000.0
education,Employed for wages,male,Indonesian,no preference,high school diploma or equivalent (GED),9000.0
software development and IT,Employed for wages,male,Russian,no preference,"trade, technical, or vocational training",35000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,50000.0
"arts, entertainment, sports, or media",Employed for wages,male,Polish,in an office with other developers,"some college credit, no degree",6000.0
food and beverage,Employed for wages,male,Russian,from home,bachelor's degree,21500.0
software development and IT,Self-employed freelancer,male,Lithuanian,in an office with other developers,"some college credit, no degree",18000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"trade, technical, or vocational training",55900.0
education,Self-employed freelancer,male,English,from home,bachelor's degree,20000.0
construction and extraction,Employed for wages,male,Russian,in an office with other developers,bachelor's degree,12000.0
sales,Employed for wages,male,English,no preference,"some college credit, no degree",20000.0
software development and IT,Employed for wages,male,Portuguese,in an office with other developers,master's degree (non-professional),40000.0
software development and IT,Employed for wages,male,Russian,in an office with other developers,associate's degree,10000.0
transportation,Self-employed business owner,male,Russian,no preference,some high school,10000.0
software development and IT,Employed for wages,male,Danish,in an office with other developers,master's degree (non-professional),21000.0
software development and IT,Self-employed freelancer,male,Russian,no preference,high school diploma or equivalent (GED),9000.0
transportation,Employed for wages,male,English,no preference,bachelor's degree,45000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",7000.0
software development and IT,Employed for wages,female,English,from home,bachelor's degree,27000.0
education,Self-employed freelancer,male,English,in an office with other developers,master's degree (non-professional),28000.0
education,Employed for wages,male,English,in an office with other developers,"trade, technical, or vocational training",55000.0
software development and IT,Employed for wages,male,Italian,from home,high school diploma or equivalent (GED),30000.0
software development and IT,Employed for wages,female,Russian,from home,bachelor's degree,10000.0
food and beverage,Employed for wages,male,Bengali,in an office with other developers,bachelor's degree,25000.0
finance,Employed for wages,male,English,from home,"some college credit, no degree",30000.0
food and beverage,Employed for wages,male,Polish,no preference,high school diploma or equivalent (GED),18200.0
transportation,Employed for wages,male,Russian,in an office with other developers,some high school,30000.0
"arts, entertainment, sports, or media",Self-employed freelancer,male,English,in an office with other developers,master's degree (non-professional),28000.0
software development and IT,Employed for wages,male,Arabic,no preference,bachelor's degree,90000.0
education,Employed for wages,male,English,from home,master's degree (non-professional),50000.0
office and administrative support,Employed for wages,male,English,from home,bachelor's degree,32000.0
education,Employed for wages,male,English,no preference,bachelor's degree,40000.0
finance,Employed for wages,female,Spanish,no preference,"some college credit, no degree",8000.0
construction and extraction,Employed for wages,female,Thai,no preference,bachelor's degree,20000.0
education,Employed for wages,male,Spanish,in an office with other developers,"professional degree (MBA, MD, JD, etc.)",15000.0
software development and IT,Employed for wages,male,Telugu,no preference,"professional degree (MBA, MD, JD, etc.)",6000.0
office and administrative support,Employed for wages,male,English,in an office with other developers,bachelor's degree,50000.0
sales,Employed for wages,male,English,from home,bachelor's degree,50000.0
finance,Employed for wages,male,English,no preference,associate's degree,35000.0
software development and IT,Employed for wages,female,Russian,in an office with other developers,bachelor's degree,6000.0
sales,Employed for wages,male,English,no preference,bachelor's degree,40000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,in an office with other developers,"some college credit, no degree",8000.0
software development and IT,Employed for wages,male,Hindi,in an office with other developers,bachelor's degree,10000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",52000.0
education,Employed for wages,female,German,from home,bachelor's degree,24000.0
architecture or physical engineering,Employed for wages,female,English,no preference,"some college credit, no degree",38000.0
software development and IT,Employed for wages,female,Chinese,in an office with other developers,high school diploma or equivalent (GED),10000.0
architecture or physical engineering,Employed for wages,male,English,no preference,bachelor's degree,75000.0
office and administrative support,Employed for wages,male,English,in an office with other developers,"professional degree (MBA, MD, JD, etc.)",25000.0
finance,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),44000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,61000.0
software development and IT,Employed for wages,male,English,no preference,master's degree (non-professional),90000.0
finance,Employed for wages,male,English,in an office with other developers,bachelor's degree,46500.0
architecture or physical engineering,Employed for wages,male,Arabic,in an office with other developers,bachelor's degree,50000.0
software development and IT,Employed for wages,male,English,in an office with other developers,associate's degree,32000.0
software development and IT,Employed for wages,male,English,in an office with other developers,high school diploma or equivalent (GED),45000.0
sales,Employed for wages,male,Korean,from home,high school diploma or equivalent (GED),25000.0
food and beverage,Employed for wages,male,Arabic,no preference,bachelor's degree,9600.0
food and beverage,Employed for wages,male,English,in an office with other developers,bachelor's degree,10000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,no preference,bachelor's degree,44000.0
office and administrative support,Employed for wages,female,Spanish,no preference,"some college credit, no degree",42500.0
software development and IT,Self-employed freelancer,male,Spanish,from home,bachelor's degree,20000.0
sales,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",14000.0
office and administrative support,Employed for wages,female,English,from home,"some college credit, no degree",24000.0
software development and IT,Employed for wages,male,German,in an office with other developers,high school diploma or equivalent (GED),18000.0
sales,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),70000.0
food and beverage,Employed for wages,male,Polish,no preference,some high school,13000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,71000.0
food and beverage,Employed for wages,male,Russian,in an office with other developers,bachelor's degree,12000.0
office and administrative support,Employed for wages,male,English,no preference,high school diploma or equivalent (GED),20000.0
education,Employed for wages,female,Egyptian Arabic,from home,master's degree (non-professional),20000.0
education,Employed for wages,female,English,in an office with other developers,"professional degree (MBA, MD, JD, etc.)",12000.0
software development and IT,Employed for wages,male,English,no preference,"trade, technical, or vocational training",50000.0
software development and IT,Employed for wages,male,Russian,in an office with other developers,"professional degree (MBA, MD, JD, etc.)",10000.0
software development and IT,Self-employed freelancer,male,English,in an office with other developers,"trade, technical, or vocational training",40000.0
education,Employed for wages,male,Polish,from home,master's degree (non-professional),20000.0
education,Employed for wages,female,English,in an office with other developers,master's degree (non-professional),25000.0
software development and IT,Employed for wages,female,English,in an office with other developers,bachelor's degree,95000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,35000.0
software development and IT,Employed for wages,male,English,from home,bachelor's degree,20000.0
software development and IT,Employed for wages,female,Tamil,in an office with other developers,bachelor's degree,21000.0
office and administrative support,Employed for wages,male,English,no preference,"trade, technical, or vocational training",75000.0
architecture or physical engineering,Employed for wages,male,Spanish,from home,bachelor's degree,24000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",119000.0
office and administrative support,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",30000.0
health care,Employed for wages,male,Spanish,no preference,"trade, technical, or vocational training",30000.0
software development and IT,Employed for wages,female,English,in an office with other developers,"some college credit, no degree",35000.0
software development and IT,Employed for wages,female,English,no preference,bachelor's degree,47000.0
"arts, entertainment, sports, or media",Self-employed business owner,male,English,in an office with other developers,master's degree (non-professional),25000.0
food and beverage,Employed for wages,male,Chinese,no preference,bachelor's degree,10000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,from home,"some college credit, no degree",37000.0
construction and extraction,Employed for wages,female,Hungarian,from home,some high school,6545.0
software development and IT,Employed for wages,male,English,no preference,bachelor's degree,42000.0
health care,Employed for wages,female,Korean,in an office with other developers,"professional degree (MBA, MD, JD, etc.)",97000.0
office and administrative support,Employed for wages,female,English,in an office with other developers,bachelor's degree,27000.0
food and beverage,Employed for wages,male,English,no preference,master's degree (non-professional),28000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",45000.0
finance,Employed for wages,female,Russian,from home,master's degree (non-professional),24000.0
office and administrative support,Employed for wages,male,English,in an office with other developers,bachelor's degree,38000.0
construction and extraction,Employed for wages,male,English,from home,associate's degree,35000.0
software development and IT,Self-employed freelancer,male,English,no preference,high school diploma or equivalent (GED),9000.0
transportation,Employed for wages,female,English,from home,associate's degree,46000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,75000.0
software development and IT,Employed for wages,male,English,no preference,bachelor's degree,100000.0
sales,Employed for wages,male,English,from home,high school diploma or equivalent (GED),50000.0
sales,Self-employed freelancer,male,English,from home,high school diploma or equivalent (GED),150000.0
education,Employed for wages,male,English,no preference,bachelor's degree,45000.0
food and beverage,Employed for wages,female,English,in an office with other developers,"some college credit, no degree",30000.0
finance,Employed for wages,male,Japanese,in an office with other developers,bachelor's degree,45000.0
office and administrative support,Employed for wages,male,English,from home,bachelor's degree,11500.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,50000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,in an office with other developers,bachelor's degree,28000.0
office and administrative support,Employed for wages,male,English,no preference,bachelor's degree,15000.0
health care,Employed for wages,male,English,in an office with other developers,bachelor's degree,70000.0
sales,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",70000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",50000.0
software development and IT,Employed for wages,male,English,from home,bachelor's degree,150000.0
finance,Employed for wages,male,English,in an office with other developers,associate's degree,13000.0
finance,Employed for wages,male,English,in an office with other developers,bachelor's degree,43000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,no preference,"some college credit, no degree",20000.0
"arts, entertainment, sports, or media",Self-employed freelancer,male,English,no preference,bachelor's degree,40000.0
software development and IT,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),170000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,no preference,"some college credit, no degree",30000.0
education,Employed for wages,female,English,in an office with other developers,bachelor's degree,15000.0
sales,Employed for wages,female,English,in an office with other developers,bachelor's degree,22000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",24000.0
food and beverage,Employed for wages,male,English,in an office with other developers,high school diploma or equivalent (GED),14000.0
